NewOrtho 	UttGloss 	Spanish 	English 	Note 	File 
toméa .. píri iróri ra kúo, rarámuri umurútiri re kúo		quién sabe que se llevaran, a lo mejor gente		target [to] llevar; citation and irróri - pluractional form of [to]; umurútiri - cargar muchas cosas	co1136[08_323-08_364].wav
rarámuri umurútiri aré kúo		lleva señores yo creo (en la troca)			co1136[08_367-08_394].wav
échi tróka ba		esa troca			co1136[08_487-08_497].wav
áchi ré oméri ma ba, yén á aré oméra ré á, tóa á		quien sabe si lo podrá, yo creo que si lo puede, a lo mejor si puede llevárselo		target [to] llevar; weak; particle-final	co1136[08_572-09_019].wav
chirikábi á bené aré échi ko ba		pues así están impuestos (así aprenden)			co1136[09_047-09_074].wav
píri ... ? píri pári?		qué trajo?		target [pa] traer; weak; final; interrogative (content)	co1136[09_158-09_179].wav
ah, mo ba?		ah, tu?			co1136[09_224-09_238].wav
paa ba		tirar		target [pa] tirar - weak (long - nminimality) - interrogative (polar)	co1136[09_308-09_320].wav
páka ... páka lókami		toma pinole tirando		target [pa] tirar - strong; initial	co1136[09_363-09_385].wav
ne wemi lowíami u pa?		estás bien tonta/loca?			co1136[09_421-09_441].wav
pákami lókiri aré, kíti maní ba		yo creo tiraste pinole por eso me dices, yo creo		target: [pa] tirar - strong; initial	co1136[09_468-09_492].wav
wirróori birá ma aré, kíti maní ba		lo tiraste por todos lados, yo creo, por eso me dices			co1136[10_025-10_048].wav
re'écha kobísi, aniká aní		desperdician (juegan con) pinole, se dice			co1136[10_309-10_326].wav
áaro		dieron		target [a] dar - passive	co1136[10_435-10_447].wav
namúti áari í?		aqui le dieron algo?		target [a] dar - passive, mid	co1136[10_457-10_474].wav
píri riyóora áaro aré?		qué cosa le darían?		target [a] dar - passive; particle final; interrogative (content)	co1136[10_478-10_493].wav
ke me machí cho ne		casi no se tampoco			co1136[10_599-11_015].wav
we risóati a'rá hu néri		soy muy pobre yo			co1136[11_019-11_038].wav
we sapú rakána bashúwo bér á muní a ba		hay que desgranar frijol rápido para cocer			co1136[11_060-11_088].wav
píri che ko'póo ba'arí ko?		qué vamos a comer mañana?			co1136[11_090-11_105].wav
we hiyá rakána bashúbo li, niká aní		hay que apurarnos para desgranar para cocer, digo			co1136[11_151-11_174].wav
ba'arí bi'á lowárma aré ba		mañana temprano nos va a dar hambre			co1136[11_176-11_193].wav
rowépa ru? we ke ne a'rámti!		dicen que van a correr? a poco!			co1136[11_503-11_532].wav
kómi hirámo rúchini, kurí échi, kóm ke wichóri ko		que no dijiste que ibas a apostar esa? no la has lavado			co1136[11_563-11_594].wav
rosákame be ko shipúsa, pe ripabé ke échi ko ru ba		te pones la falda blanca, esa está más cortita			co1136[12_072-12_102].wav
yén wen awíi chabéi, hípi ko ma ke awí orá		sí, antes bailaba mucho, ahora ya no		target: [awi] - two tokens; weak, mid (first token), particle final (second token)	co1136[12_339-12_374].wav
ma na'ósa ku awíri ne		ya he bailado cuatro veces		target [awi] bailar - weak; mid	co1136[12_406-12_423].wav
ermana nahítisa		cuando me hice hermana			co1136[12_427-12_442].wav
kám atí?		dónde está?			co1136[13_006-13_017].wav
pamí ba?		allá arriba?			co1136[13_034-13_041].wav
chikúri aréri néna ba		vienen los ratones			co1136[13_082-13_107].wav
pírim i'néma?		qué vas a ver?			co1136[13_311-13_325].wav
ne ke cho á machío cho á!		yo tampoco se!			co1136[13_442-13_464].wav
ma bahtári kóripa aní atí bo'óri		mejor vamos a tomar tesgüino allá bo'óri (por la subida) que estar platicando			co1136[13_479-13_502].wav
urí, nakóoska síro		sí, iban muy abrazados			co1136[14_339-14_362].wav
ke, ke me obáta ré		no, no son bravos (no se enojan)		sg: ke me aparú aré	co1136[14_414-14_430].wav
chúkiri na ... na .. awisúa ko ro		es chúkiri cuando bailan		target: [awi] bailar; strong; particle-final	co1136[15_140-15_168].wav
chúkiri kónuwo ru ra		dan de comer chúkiri			co1136[15_175-15_190].wav
urí, chútika, miriméa aré chíba		sí, va a afilar para matar chiva		target [chuta] afilar; strong; final	co1136[15_273-15_299].wav
chútika ... ripiyá ta límati chútika		afilando ... afilar el cuchillo cin una lima		target [chuta] afilar; strong; final	co1136[15_336-15_365].wav
ke me a'rá oríiri hípi		no hicieron muy bien ahora			co1136[16_076-16_093].wav
ka re ko		es			co1136[16_098-16_107].wav
chutása ko ma miriméa aré chíba ba		cuando afile ya van a matar a la chiva		target [chuta] afilar; strong; initial	co1136[16_239-16_267].wav
muhé ma ke chí bíri rimurú hípi ko ba?		y ahora ya no sueñas muchas cosas?			co1136[16_384-16_409].wav
muhé ma ke chí bíri rimurú chíba mirisá chabé?		y tu ya no sueñas muchas cosas (feas) desde que mataste a la chiva?			co1136[16_412-16_438].wav
we o'wíra ke awishúa á ru ba		es muy bueno cuando bailan eso		target [awi] bailar; strong; mid	co1136[16_490-16_515].wav
we naúo rúchini, h+ipi ma ku a'rá sawíro		decía que estaba muy enferma, ahora dice que ya se curó		target [nayu] estar enfermo - weak; particle final (note: transcription is off)	co1136[16_561-16_584].wav
pe abói awíri abói		ellas mismas bailaron		target [awi] bailar - weak, mid	co1136[17_018-17_032].wav
abói á mi'aká awíri chíba		ellas mismas mataron la chiva para bailar		target [awi] bailar - weak, mid	co1136[17_033-17_049].wav
yén a wikaráka bér a ba		sí, cantando			co1136[17_080-17_093].wav
we naúo cho rúchini cho		decía que estaba muy enferma		target [nayu] estar enfermo, weal, mid	co1136[17_131-17_145].wav
urí, ma awíiro rá, kíti ke chíbi níri		sí, ya bailó, por eso ya no siente nada		target [awi] bailar; weak; particle-final	co1136[17_541-17_568].wav
urí		sí, soñaba muchos muertos			co1136[17_594-18_014].wav
échi ku tóora rá aré, kíti ba		cree que se lo llevó		target [to] llevar - passive?, mid	co1136[18_052-18_074].wav
ke orása ko, ke awisáa, ma ku shiméa		si no hubiera hecho, si no hubiera bailado ya se lo hubiera llevado		target: [awi] bailar, strong, final	co1136[18_079-18_110].wav
mo ko ba?		y tu?			co1136[18_491-18_501].wav
ma chabé cho á		ya hace mucho también?			co1136[18_560-18_576].wav
we ritúrpo bér aré pa		tenemos que correr apuntando			co1136[19_473-19_490].wav
ne ke cho á		yo tampoco			co1137[00_015-00_031].wav
ne ke me bahíniri		yo no quiero tomar mucho			co1137[00_108-00_118].wav
bíchi pári re ko		el gato lo tiró		target: [pa] tirar, weak, particle-final	co1137[00_195-00_221].wav
kúmi asári?		dónde estaba?			co1137[00_226-00_235].wav
wichíri aré ko		se cayó yo creo			co1137[00_283-00_292].wav
wichí akíbi rapáko		se cayó ayer			co1137[00_316-00_357].wav
kárka napóniri, kárka kasíniri		lo quebró todo y lo desmoronó		target: [napó] quebrar; weak, particle-final	co1137[00_362-00_387].wav
ka riká kasí akéa pelato ba!		todo se quebró el plato!		akéa - akíbi; BFL: "como que lo viste que se quebró"	co1137[00_412-00_434].wav
kasíri		se quebró			co1137[01_164-01_176].wav
ma binéri riwéri susita		ya Jesusita ya lo dejó solo			co1137[01_545-01_566].wav
wiká suwíri aré!		ya murieron muchos			co1137[02_124-02_148].wav
nosobúsa		se casó con Mateo, hace poquito que se murió la esposa			co1137[02_198-02_242].wav
échi tisókame rúu		ese que trae el bordón			co1137[02_336-02_348].wav
urí, ma wirí naurú		sí, ya tenía mucho enferma		target: [nayú] estar enfermo; strong, final	co1137[02_565-02_593].wav
karíra aré		se quebró (Mateo)			co1137[02_595-03_006].wav
pe kuri ko, ke cho a'rá sawí aré pa		todavía no se alivia bien			co1137[03_086-03_120].wav
pe kurí kunámiri		hace poquito que se enviudó y ya se casó esa mujer			co1137[03_135-03_161].wav
ma okwá upá wári, biré ma pári		ya tiró dos hasta atrás, ya dejó otro		target: [pa] tirar; weak, final	co1137[03_181-03_204].wav
ma roróa chukúchani		ya está roncando			co1137[03_420-03_434].wav
sinibí ra		todo el tiempo			co1137[03_578-03_590].wav
chanéba ré: “pírimi rimurú ko rá roróchini” ané ba		hay que dcirle "que estás soñándo, que etsás roncando?"			co1137[04_199-04_243].wav
nárpo bér á ba		vamos preguntándole		target: [nári] preguntar; strong; initial	co1137[04_271-04_286].wav
anéchino		por acá se oía ahorita			co1137[04_523-04_580].wav
pe sinépi anéchini rú		se oyó nomás una vez			co1137[05_057-05_075].wav
we ni'wíri aré naríki ko abé		yo creo que relampagueó por acá de este lado		target: [ni'wí] relampaguear - weak, particle-final	co1137[05_101-05_127].wav
pe arió onóbari ukí		está enojada la lluvia			co1137[05_184-05_208].wav
we ná anéo		y entonces es cuando truena bien recio			co1137[05_212-05_235].wav
... ka'é		ahorita tronaba muy recio y tronaba por acá de este lado			co1137[05_240-05_271].wav
rahásimi ru		sí, pues nomás prende, aluza,			co1137[05_310-05_344].wav
ra'tánima rahéa simí ru		truena y prende			co1137[05_345-05_365].wav
ke, ka ni ko biré ritiwá		no, yo nuncahe visto			co1137[06_171-06_196].wav
riwiméa bér á aré ba		va a ver, yo creo		target: [riwa] ver - strong, initial	co1137[06_314-06_348].wav
we bahía aré		ha de tomar mucho			co1137[07_105-07_123].wav
u, échi bér a ra'icháachana ke ru		si, eso se oyó que platicaron		target: [ra'icha] hablar - strong; mid	co1137[07_259-07_289].wav
ne ma ka che yéniri		yo ya no voy			co1137[08_162-08_182].wav
we a'rá machíam aré, a'rám ra'íchami ti ke ko		alguien que sí sabían, porque platicaba mucho (era muy platicador)		target: [ra'icha] - hablar; strong; mid (transcription is off)	co1137[08_323-08_352].wav
kem cho ra'íchi mo?		tu todavía no has ñplaticado con ella?		target: [ra'icha] - hablar; weak, particle-final - interrogative (polar)	co1137[08_372-08_382].wav
kem cho ra'íchiri, kem cho ra'íchi áo		todavía no platicas con ella		target: [ra'icha] hablar - two tokens; first token: weak, final; second token: weak, particle-final.	co1137[08_454-08_481].wav
ma pe uchí chukuké pa, sí ishí ukíshia akíbo		ya me quedaba muy poquito nomás que en eso se vino la lluvia (empezó a llover)			co1137[09_389-09_413].wav
ma birán suníma riké pa		ya iba a acabar			co1137[09_430-09_450].wav
ma kan ku rakanámi aré na ba		ya no hubiera desgranado este			co1137[09_452-09_469].wav
ah ... yén á bamíbo á		ah, sí cumplió (años)			co1137[09_571-09_597].wav
ke biré waséo rúo ru ba!		dice que no tiene tierra!			co1137[11_230-11_249].wav
pe ke ipó upá?		no es en el llano?			co1137[11_281-11_291].wav
we yéna raraká birá hu aré pa?		a poco sí, entonces es comprado?			co1137[12_177-12_204].wav
suwába namúti raraká ka ruwá birá choná ba?		todo es comprado allá?			co1137[12_208-12_238].wav
suwábuka we béla ka ruá ro, wichóa ma		dicen que todo, lavar también			co1137[12_245-12_270].wav
sunú nihíbo rá, warí nihísa ba		damos maiz cuando dan wari			co1140[00_206-00_227].wav
nihísa sunú ku áa ... nihíbo ba		se da el maíz ... damos el maiz			co1140[00_232-00_259].wav
ábo bér á, we sukurúame nísa, tamí miriméa re ba		hay que darle maiz, porque que tal que es muy sukurúame (hechicero), me va a matar		target: [a] dar; strong, initial	co1140[00_302-00_339].wav
pe iyíri éna harré, ilá ma a'péa éna		hay unos que andan nomás y unos traen nopales			co1140[00_584-01_009].wav
harré, pe chí bíri a'pea éna, mém á		hay unos que traen muchas cosas, mezcal		[me] mezcal	co1140[01_078-01_111].wav
we a'kámi ko ko'wá		es muy dulce como comemos			co1140[01_158-01_193].wav
ke biré páa, yén á birá páa ba		no trae, sí, si trae		target: [pa] traer - two tokens; first token: weak (long, minimality), final; second token: weak (long - minimality), particle-final	co1140[01_346-01_372].wav
a'rí shunú arío rúra arío		y luego se le da maíz		target: [a] dar - two tokens; first: strong (stress shift), mid; second token: strong (stress shift), final	co1140[01_393-01_412].wav
sunú cho arío arí		también se le da maíz entonces (cuando trae mezcal)		target: [a] dar; strong (stress shift), mid	co1140[01_415-01_430].wav
“me”, “me” aniríame		mezcal, se le dice "me"			co1140[02_066-02_087].wav
ma birá ke riwibóo ré, ma wi'rímna ko ba		ya más después ya no lo vamos a encontrar, yo creo		target: [riwa] ver/encontrar; strong, particle-final	co1140[03_183-03_205].wav
ma másima ré wi'rímna mi morálishi, ma ke busélwa ka ba		ya se va arrancar Morales después, ya que no vea (no tenga ojos)			co1140[03_205-03_241].wav
napácha ri'rí mam ku wípa		la blusa ya fuiste por ella allá abajo			co1140[05_023-05_044].wav
napácha chém ri'rí uchári, ta chókame, mam ku wí?		la blusa negra que pusiste allá abajo, ya fuiste por ella?			co1140[05_046-05_071].wav
chuta anibóo rúi ru?		qué dijimos que íbamos a decir?			co1140[05_362-05_376].wav
mi píri rimúa rúri rú? we roróa chukúchini rú?		que estabas soñando que estabas roncando mucho?			co1140[05_380-05_409].wav
kuá ra'íchi?		quién habló?		target: [ra'icha] hablar; weak, final, interrogative (wh)	co1140[06_035-06_042].wav
nto! abéi ku nawái ukí anáwa ... peee bachá cho ku nawári		sí! hace rato que llegó, junto con la lluvia ... poquito adelantito		target: [nawa] llegar - two tokens; first token: weak, mid; second token: weak, particle-final	co1140[06_367-06_407].wav
“we naúta pa”, he anisá, narásia akíbi ruá		"estoy muy enferma", me dijo y se empezó a llorar		target: [nayú] - estar enfermo; weak, particle-final	co1140[06_583-07_008].wav
somáma bem pa		lávate la cabeza tu		target: [soma] lavar cabeza; strong, initial	co1140[08_048-08_058].wav
ká riká somábo, ká riká ubábo kam omorrúam pa		hay que lavarnos toda la cabeza y bañarnos todas, todo		target: [soma] lavar cabeza, strong, final	co1140[08_169-08_201].wav
ah, pem áaro, pem áaro?		ah, te lo dieron?		target: [a] dar; passive? final	co1140[09_222-09_235].wav
ne bastiáni nihíri		Sebastipan dio			co1140[09_278-09_308].wav
raheká birá simíbiri aré ko		sí, yo creo lo dejamos prendido			co1140[10_078-10_101].wav
anáchika ... anáchika bér á ... newaría aré warí pa		con ganas (aguantando) hay que hacer los waris		target: [anacha] aguantar; strong, initial	co1140[10_414-10_448].wav
ayéna rá ba, anacháma ré pa, siné káachi ropachí okóma ré pa		sí, a veces sí aguanta, pero a veces le duele el estómago		target: [anacha] aguantar; strong, initial and particle-final	co1140[10_560-11_001].wav
(ne chá) we ishíniri, (we) ka ishíniri mawía ba		sí, orino mucho y cuando corro me dan muchas ganas de orinar		target: [isi] orinar - two tokens; first token: strong, final; second token: strong, mid	co1140[11_188-11_216].wav
ka che biré ishíniri ba		ese no orina		target: [isi] orinar - strong, particle-final	co1140[11_229-11_241].wav
ka che ishíniri ba		no quiere orinar		target: [isi] orinar - strong, particle-final	co1140[11_368-11_382].wav
... ishíma ...		ahora ya puedes orinar en el bote, nomás ponlo por aqui por abajo		target: [isi] orinar; strong, mid	co1140[12_002-12_029].wav
... isíma		aqui ponlo por abajo y ahi orinas		target: [isi] orinar - strong, final	co1140[12_037-12_050].wav
ruruwábo		en la mañana hay que tirarlo		target: [ruruwa] tirar; strong, particle-final	co1140[12_059-12_074].wav
bi'á asíska ba		te levantas temprano y machucas frijoles			co1140[13_057-13_082].wav
rakanábo		pasado mañana coceremos y mañana lo desgranamos			co1140[13_289-13_320].wav
rakabúa muchuwábo		sí, hay que dejarlo desgranado			co1140[13_332-13_356].wav
urí		sí, ya va a empezar a helar			co1140[13_517-13_544].wav
napíchi		pues nomás estaremos sentadas en la lumbre calentándonos cuando ya hiele mucho		target: [sukári] - calentarse; weak, final	co1140[14_005-14_035].wav
... sukwárama rá harré pa ... sukwáram ú		sí, tienen que calentarse algunos, yo nunca me arrimo a la lumbre		target: [sukari] calentarse - two tokens; first: strong, mid; second: strong, mid	co1140[14_130-14_165].wav
tikila bahíra ré		tomó tequila		"uno no lo vio, nomás cree"	co1140[14_273-14_287].wav
urí, échi bér a ba		si, ese			co1140[14_360-14_369].wav
kámi ko bahíba aré ba, mi bo'náki inári abé		quién sabe donde tomaría pero ahporita iba en la otra banda			co1140[14_400-14_425].wav
túi ke re ko		allá abajito a lo mejor		tú = hasta abajo por wichachi, túi = por abajo del arroyo pero cercas/ Rosa Isela . bo'óri tosáchi (como de bajada y de subidita otra vez)	co1140[14_435-14_445].wav
túna bahíri ré ko, ke ne machí		habrán tomado allá abajo, no se			co1140[14_451-14_468].wav
we banára ré, tekíla narína we bahíba ruá		hicieron mucho, dicen que toman mucho tequila			co1140[14_537-14_567].wav
ah, wéri kom awíira ruá?		ah, dices que bailaron?		target [awi] bailar, passive, mid, interogative (polar); se acordó que le dije que habían bailado	co1140[14_573-14_594].wav
ah rá..., norá hu?		ah, es su hijo (de un hombre)?		ranára - hijo de una mujer; marára = hija de un hombre;	co1140[15_050-15_069].wav
ranára hu échi sirínchi		es hijo de sirínchi			co1140[15_089-15_108].wav
wikaráami níchini ró		ah sí, dicen que canta			co1140[15_127-15_142].wav
ma ka che ritéero, ka che biré wési awíi ba		ya no se ve, ya nadie baila		target: [awi] bailar; weak, particle-final	co1140[15_229-15_255].wav
ah, mina ko kurí a awíri korína		ah, Mina hace poco que bailó allá al lado		target: [awi] bailar; weak, mid	co1140[15_331-15_352].wav
pe ke banaká ko		sin hacer tesgüino			co1140[15_356-15_368].wav
shinibí bo'órri sikóchi, ulián riwéami bitéerichi		siempre en casa de Julián			co1140[16_078-16_110].wav
ro'chí ro'ára ruái básochi		puso pescados en un vaso			co1140[16_144-16_168].wav
hmm .. pee, chonása riwéri		oscureciéndose apenas			co1140[16_238-16_263].wav
chonása riwéri, ro'chí ro'wara ruái awíilichi		cuando estaba oscureciendo puso pescado en el patio para bailar			co1140[16_268-16_292].wav
wa'rú ukúki a'rí ba		llovió mucho esa vez			co1140[16_317-16_334].wav
pe iyéni á, kunára ko ma chabée mukúri		ahí anda todavía, el esposo hace mucho que se murió		target: [muku] morirse; weak, final	co1140[16_386-16_410].wav
bahtári bél á banaría shunú napabúsa ba		hacen tesgüino cuando juntan maiz			co1140[17_091-17_118].wav
basiáwi ko achiká bahíwa chabéi ko		antes tomaban echándole basiáwi			co1140[17_154-17_177].wav
okoké ko rá rokó í		me dolía aqui en la noche			co1140[17_383-17_406].wav
píri la oráo? chabé ko rani hónsa ikíki		no se, hace mucho que me pasó eso			co1140[17_421-17_440].wav
okoké chikó ru ba		me dolía			co1140[17_450-17_463].wav
na'í bi ché así okoké chabéi kurí pa, na'íni		aqui me dolía mucho hace poco, aqui mira			co1140[17_548-17_577].wav
na'í rú, ne así okoké ke		aqui! me dolía mucho!			co1140[17_579-18_006].wav
sapáto ke ré, hem lára ke, si okoké pa		pensaba será el zapato, que me dolía mucho			co1140[18_015-18_053].wav
ta owáami nihíri		me dieron medicina			co1140[18_099-18_121].wav
pomáda níra ré, a'rí pe ku sawíri ba		era pomada, entonces me curé un poquito			co1140[18_238-18_265].wav
pe abépi hónsa nakílo		hubiera sido más temprano			co1140[18_463-18_482].wav
ma ke oméro ripiyáti sikiréa		ya no puede cortar con el cuchillo			co1234[00_095-00_117].wav
che chutábo		hay que afilarlo otra vez		target: [chuta] - afilar - strong, final	co1234[00_253-00_265].wav
ma rapáko chútari ne		ayer ya lo afilé		target [chuta] - afilar - weak, mid	co1234[01_460-01_473].wav
chu riká orá haréo, yéncho á aré		¿quién sabe cómo lo usaran otros, a lo mejor también?			co1234[02_082-02_098].wav
ma birá límati chutáaro aré ba		la afilaron con la lima		target [chuta] - afilar - passive , particle-final (prompted)	co1234[02_569-02_588].wav
límati biráti chútaruru aré ba		con la lima lo afilaron		target [chuta] - afilar - strong with no stress change (?), particle-final	co1234[02_596-03_013].wav
banagá páa		tirar algo		target [pa] tirar - citation	co1234[03_198-03_208].wav
banaká pári ripiyá, ne ku téaki arí ré ba		tiró el cuchillo y luego yo lo encontré		target [pa] tirar - weak, mid	co1234[03_294-03_323].wav
hmm ..” he pi pári?” he anío		"quién lo tiró?", dice		target [pa] tirar -weak, final; question (wh)	co1234[04_231-04_250].wav
ahh .. nárpo: “he pi ká páro ru machí?“		preguntamos a alguien "a ver quién dice que lo tiró allá afuera?"		target [nári] preguntar - strong, final; target [pa] tirar -weak, mid, question (wh)	co1234[04_466-04_490].wav
ba'wí ro'iká		echándole agua			co1234[06_044-06_053].wav
waríchi ... waríchi wápo rá ba		los echamos (vaciamos) en el wari		wápo - vaciar muchas cosas	co1234[06_216-06_232].wav
barríkachi pasósa a'rí he rikáti waríchi muchuwábo		los lavamos en una barrica y después los echamos en el wari			co1234[06_233-06_258].wav
ma batúpo le la pakésa		ya lo molemos cuando lo remojamos			co1234[06_546-06_562].wav
tóki batúpa rikó		hay que moler el maíz nacido		deontic reading in the translation	co1234[07_439-07_453].wav
a'rí téri ko ko chécho pákpa morrálichi ba		y ahorita en la tarde lo volvemos a colar con una red			co1234[08_266-08_289].wav
arína yúa		harina también			co1234[08_335-08_346].wav
